,0,1,2,3,4,5,6,7,8,9,10
0,"t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: -3.565, p-value:0.000","t-test(1798): t-value: -3.957, p-value:0.000","t-test(1798): t-value: -3.547, p-value:0.000","t-test(1798): t-value: -2.702, p-value:0.007","t-test(1798): t-value: -1.436, p-value:0.151","t-test(1798): t-value: -3.235, p-value:0.001","t-test(1798): t-value: -3.257, p-value:0.001","t-test(1798): t-value: -1.630, p-value:0.103","t-test(1798): t-value: -2.809, p-value:0.005","t-test(7178): t-value: -0.995, p-value:0.320"
1,"t-test(1798): t-value: 3.565, p-value:0.000","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: -0.515, p-value:0.607","t-test(1798): t-value: 0.191, p-value:0.848","t-test(1798): t-value: 1.463, p-value:0.144","t-test(1798): t-value: 3.970, p-value:0.000","t-test(1798): t-value: 0.820, p-value:0.412","t-test(1798): t-value: 0.951, p-value:0.342","t-test(1798): t-value: 3.622, p-value:0.000","t-test(1798): t-value: 1.017, p-value:0.309","t-test(7178): t-value: 5.421, p-value:0.000"
2,"t-test(1798): t-value: 3.957, p-value:0.000","t-test(1798): t-value: 0.515, p-value:0.607","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: 0.770, p-value:0.441","t-test(1798): t-value: 2.102, p-value:0.036","t-test(1798): t-value: 4.938, p-value:0.000","t-test(1798): t-value: 1.487, p-value:0.137","t-test(1798): t-value: 1.694, p-value:0.090","t-test(1798): t-value: 4.554, p-value:0.000","t-test(1798): t-value: 1.553, p-value:0.121","t-test(7178): t-value: 6.798, p-value:0.000"
3,"t-test(1798): t-value: 3.547, p-value:0.000","t-test(1798): t-value: -0.191, p-value:0.848","t-test(1798): t-value: -0.770, p-value:0.441","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: 1.382, p-value:0.167","t-test(1798): t-value: 4.128, p-value:0.000","t-test(1798): t-value: 0.682, p-value:0.495","t-test(1798): t-value: 0.823, p-value:0.411","t-test(1798): t-value: 3.747, p-value:0.000","t-test(1798): t-value: 0.907, p-value:0.365","t-test(7178): t-value: 5.845, p-value:0.000"
4,"t-test(1798): t-value: 2.702, p-value:0.007","t-test(1798): t-value: -1.463, p-value:0.144","t-test(1798): t-value: -2.102, p-value:0.036","t-test(1798): t-value: -1.382, p-value:0.167","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: 2.407, p-value:0.016","t-test(1798): t-value: -0.800, p-value:0.424","t-test(1798): t-value: -0.775, p-value:0.438","t-test(1798): t-value: 2.057, p-value:0.040","t-test(1798): t-value: -0.319, p-value:0.750","t-test(7178): t-value: 3.684, p-value:0.000"
5,"t-test(1798): t-value: 1.436, p-value:0.151","t-test(1798): t-value: -3.970, p-value:0.000","t-test(1798): t-value: -4.938, p-value:0.000","t-test(1798): t-value: -4.128, p-value:0.000","t-test(1798): t-value: -2.407, p-value:0.016","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: -3.605, p-value:0.000","t-test(1798): t-value: -3.825, p-value:0.000","t-test(1798): t-value: -0.387, p-value:0.699","t-test(1798): t-value: -2.496, p-value:0.013","t-test(7178): t-value: 1.106, p-value:0.269"
6,"t-test(1798): t-value: 3.235, p-value:0.001","t-test(1798): t-value: -0.820, p-value:0.412","t-test(1798): t-value: -1.487, p-value:0.137","t-test(1798): t-value: -0.682, p-value:0.495","t-test(1798): t-value: 0.800, p-value:0.424","t-test(1798): t-value: 3.605, p-value:0.000","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: 0.091, p-value:0.928","t-test(1798): t-value: 3.208, p-value:0.001","t-test(1798): t-value: 0.369, p-value:0.712","t-test(7178): t-value: 5.368, p-value:0.000"
7,"t-test(1798): t-value: 3.257, p-value:0.001","t-test(1798): t-value: -0.951, p-value:0.342","t-test(1798): t-value: -1.694, p-value:0.090","t-test(1798): t-value: -0.823, p-value:0.411","t-test(1798): t-value: 0.775, p-value:0.438","t-test(1798): t-value: 3.825, p-value:0.000","t-test(1798): t-value: -0.091, p-value:0.928","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: 3.394, p-value:0.001","t-test(1798): t-value: 0.320, p-value:0.749","t-test(7178): t-value: 5.932, p-value:0.000"
8,"t-test(1798): t-value: 1.630, p-value:0.103","t-test(1798): t-value: -3.622, p-value:0.000","t-test(1798): t-value: -4.554, p-value:0.000","t-test(1798): t-value: -3.747, p-value:0.000","t-test(1798): t-value: -2.057, p-value:0.040","t-test(1798): t-value: 0.387, p-value:0.699","t-test(1798): t-value: -3.208, p-value:0.001","t-test(1798): t-value: -3.394, p-value:0.001","t-test(1798): t-value: 0.000, p-value:1.000","t-test(1798): t-value: -2.183, p-value:0.029","t-test(7178): t-value: 1.556, p-value:0.120"
9,"t-test(1798): t-value: 2.809, p-value:0.005","t-test(1798): t-value: -1.017, p-value:0.309","t-test(1798): t-value: -1.553, p-value:0.121","t-test(1798): t-value: -0.907, p-value:0.365","t-test(1798): t-value: 0.319, p-value:0.750","t-test(1798): t-value: 2.496, p-value:0.013","t-test(1798): t-value: -0.369, p-value:0.712","t-test(1798): t-value: -0.320, p-value:0.749","t-test(1798): t-value: 2.183, p-value:0.029","t-test(1798): t-value: 0.000, p-value:1.000","t-test(7178): t-value: 3.585, p-value:0.000"
10,"t-test(1798): t-value: 0.995, p-value:0.320","t-test(1798): t-value: -5.421, p-value:0.000","t-test(1798): t-value: -6.798, p-value:0.000","t-test(1798): t-value: -5.845, p-value:0.000","t-test(1798): t-value: -3.684, p-value:0.000","t-test(1798): t-value: -1.106, p-value:0.269","t-test(1798): t-value: -5.368, p-value:0.000","t-test(1798): t-value: -5.932, p-value:0.000","t-test(1798): t-value: -1.556, p-value:0.120","t-test(1798): t-value: -3.585, p-value:0.000","t-test(7178): t-value: 0.000, p-value:1.000"
