,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.4066,0.004,-108.735,0.0,-0.414,-0.399,***
source[T.Twitter],0.0161,0.009,1.843,0.066,-0.001,0.033,.
dropout,0.001,0.002,0.581,0.562,-0.002,0.004,
epochs,0.004,0.002,2.015,0.045,9.35e-05,0.008,*
learning_rate,-0.0022,0.002,-1.437,0.152,-0.005,0.001,
linear_layers,-0.0049,0.002,-3.17,0.002,-0.008,-0.002,**
rnn_layers,-0.0053,0.002,-3.171,0.002,-0.009,-0.002,**
use_attention,0.002,0.002,1.179,0.239,-0.001,0.005,
use_price,0.0041,0.002,2.68,0.008,0.001,0.007,**
window_size,-0.0019,0.002,-0.809,0.419,-0.006,0.003,
"np.power(dropout, 2)",0.0014,0.001,1.044,0.297,-0.001,0.004,
"np.power(epochs, 2)",0.0047,0.002,2.262,0.024,0.001,0.009,*
"np.power(rnn_layers, 2)",0.0063,0.002,3.9,0.0,0.003,0.009,***
"np.power(learning_rate, 2)",-0.0001,0.001,-0.09,0.929,-0.002,0.002,
"np.power(window_size, 2)",-9.917e-05,0.001,-0.164,0.87,-0.001,0.001,
"np.power(linear_layers, 2)",0.0002,0.001,0.161,0.872,-0.003,0.003,
